taxon_name,family,woodiness,plant_growth_form,life_history,native_status,parasitic
Asystasia alba,Acanthaceae,semi_woody,woody_herb,,,
Asystasia gangetica,Acanthaceae,herbaceous,,,,
Asystasia sp. Flora of Australia (D.A.Powell 740),Acanthaceae,NA,,,,
Asystasia sp. Phosphate Hill (D.A.Powell 787),Acanthaceae,NA,,,,
Avicennia sp.,Acanthaceae,woody,,,,
Barleria prionitis,Acanthaceae,herbaceous,,,,
Dicliptera arnhemica,Acanthaceae,,,,,
Dicliptera australis,Acanthaceae,,,,,
Dicliptera chinensis,Acanthaceae,,,,,
Dicliptera maclearii,Acanthaceae,,,,,
Dipteracanthus australasicus subsp. glabratus,Acanthaceae,woody,woody_herb_shrub,,,
Dipteracanthus bracteatus,Acanthaceae,,,,,
Dipteracanthus chichesterensis,Acanthaceae,,,,,
Dipteracanthus prostratus,Acanthaceae,,,,,
Dipteracanthus sp. Kalpowar (D.G.Fell+ DGF2969B),Acanthaceae,,,,,
Hypoestes aristata,Acanthaceae,,,,,
Pseuderanthemum tenellum,Acanthaceae,,,,,
Rostellularia adscendens var. clementii,Acanthaceae,,,,,
Actinidia chinensis,Actinidiaceae,woody,woody_climbing_vine,,,
Viburnum tinus,Adoxaceae,woody,shrub tree,,,
Drosanthemum candens,Aizoaceae,,,,,
Galenia secunda,Aizoaceae,,,,,
Gunniopsis calva,Aizoaceae,,,,,
Gunniopsis kochii,Aizoaceae,,,,,
Gunniopsis sp. Blue Hills (D.J.Edinger Nats 59),Aizoaceae,NA,,,,
Gunniopsis sp. Lake Kerrylyn (N.Gibson et al. NG 7028),Aizoaceae,NA,,,,
Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522),Aizoaceae,NA,,,,
Gunniopsis tenuifolia,Aizoaceae,,,,,
Gunniopsis zygophylloides,Aizoaceae,,,,,
Lampranthus glaucus,Aizoaceae,,,,,
Mesembryanthemum guerichianum,Aizoaceae,,,,,
Ruschia geminiflora,Aizoaceae,,,,,
Sarcozona sp.,Aizoaceae,,,,,
Sagittaria brevirostra,Alismataceae,herbaceous,aquatic_herb,,,
Allium paniculatum,Alliaceae,herbaceous,,,,
Allium roseum,Alliaceae,herbaceous,,,,
Allium scorodoprasum,Alliaceae,herbaceous,,,,
Amaranthus sp. [Amaranth sp1],Amaranthaceae,herbaceous,,,,
Celosia argentea,Amaranthaceae,herbaceous,,,,
Froelichia floridana,Amaranthaceae,herbaceous,,,,
Gomphrena,Amaranthaceae,herbaceous,,,,
Gomphrena affinis subsp. affinis,Amaranthaceae,herbaceous,,,,
Gomphrena affinis subsp. pilbarensis,Amaranthaceae,herbaceous,,,,
Gomphrena canescens subsp. canescens,Amaranthaceae,herbaceous,,,,
Gomphrena diffusa subsp. arenicola,Amaranthaceae,herbaceous,,,,
Gomphrena leptoclada subsp. leptoclada,Amaranthaceae,herbaceous,,,,
Gomphrena leptoclada subsp. saxosa,Amaranthaceae,herbaceous,,,,
Gomphrena sp.,Amaranthaceae,herbaceous,,,,
Ptilotus polakii subsp. polakii,Amaranthaceae,woody,shrub,,,
Ptilotus whitei,Amaranthaceae,woody,shrub,,,
Pupalia lappacea,Amaranthaceae,,,,,
Surreya mesembryanthema,Amaranthaceae,herbaceous,,,,
Narcissus tazetta,Amaryllidaceae,herbaceous,,,,
Sternbergia lutea,Amaryllidaceae,herbaceous,,,,
Anacardium occidentale,Anacardiaceae,woody,tree,,,
Schinus molle,Anacardiaceae,woody,tree,,,
Spondias cytherea,Anacardiaceae,woody,tree,,,
Annona muricata,Annonaceae,woody,tree,,,
Meiogyne sp. [Polyaulax sp. (Tingle Scrub DGF 2676)],Annonaceae,woody,,,,
Melodorum sp. [Melodorum tetraphyllus],Annonaceae,woody,,,,
Actinotus periculosus,Apiaceae,herbaceous,,,,
Actinotus schwarzii,Apiaceae,herbaceous,,,,
Actinotus sp. Comet Vale (A.V.Milewski AVM1093),Apiaceae,herbaceous,,,,
Bifora testiculata,Apiaceae,herbaceous,,,,
Bupleurum semicompositum,Apiaceae,herbaceous,,,,
Coriandrum sativum,Apiaceae,herbaceous,,,,
Dichosciadium ranunculaceum var. tasmanicum,Apiaceae,herbaceous,,,,
Petroselinum crispum,Apiaceae,herbaceous,,,,
Platysace heterophylla var. tepperi,Apiaceae,semi_woody,,,,
Platysace sp. Eneabba (R.Hnatiuk 770001),Apiaceae,semi_woody,,,,
Platysace sp. Kalbarri (D. & B.Bellairs 1383),Apiaceae,semi_woody,,,,
Platysace sp. Kennedy (P.G.Wilson 8450),Apiaceae,semi_woody,,,,
Platysace sp. Mt Ninderry (P.R.Sharpe+ 2092),Apiaceae,semi_woody,,,,
