taxon_name,family,woodiness,plant_growth_form,life_history,native_status,parasitic
Platysace sp. Stirling (J.M.Fox 88/262),Apiaceae,semi_woody,,,,
Platysace sp. Watsonville (P.I.Forster PIF6259),Apiaceae,semi_woody,,,,
Platysace valida,Apiaceae,semi_woody,,,,
Tordylium apulum,Apiaceae,herbaceous,,,,
Xanthosia kochii,Apiaceae,,,,,
Xanthosia scopulicola,Apiaceae,woody,subshrub,,,
Xanthosia sp. Dardanup (B.J.Keighery & N.Gibson 174),Apiaceae,,,,,
Alyxia evansii,Apocynaceae,woody,,,,
Alyxia gynopogon,Apocynaceae,woody,,,,
Alyxia squamulosa,Apocynaceae,woody,,,,
Alyxia tropica,Apocynaceae,woody,,,,
Cynanchum brachystelmoides,Apocynaceae,semi_woody,,,,
Cynanchum leibianum,Apocynaceae,semi_woody,,,,
Cynanchum sp. Hamersley (M.Trudgen 2302),Apocynaceae,semi_woody,,,,
Gomphocarpus cancellatus,Apocynaceae,,shrub herb,,,
Marsdenia,Apocynaceae,,,,,
Marsdenia brevifolia,Apocynaceae,,,,,
Marsdenia brevis,Apocynaceae,,,,,
Marsdenia muelleri,Apocynaceae,,,,,
Marsdenia pumila,Apocynaceae,,,,,
Marsdenia rara,Apocynaceae,,,,,
Marsdenia sp. Silver Plains (P.I.Forster PIF17005),Apocynaceae,,,,,
Marsdenia tubulosa,Apocynaceae,,,,,
Melodinus sp.,Apocynaceae,woody,climber,,,
Orbea variegata,Apocynaceae,herbaceous,,,,
Arisarum vulgare,Araceae,herbaceous,,,,
Landoltia sp.,Araceae,herbaceous,,,,
Spirodela sp.,Araceae,herbaceous,,,,
Xanthosoma sagittifolium,Araceae,herbaceous,,,,
Aralia spinosa,Araliaceae,woody,,,,
Astrotricha asperifolia subsp. Bogong (H.I.Aston 246),Araliaceae,woody,shrub,,,
Astrotricha asperifolia subsp. Toolangi (N.G.Walsh 2177),Araliaceae,woody,shrub,,,
Astrotricha parvifolia subsp. Mt Hedrick (V.Stajsic 3710),Araliaceae,woody,shrub,,,
Gastonia sp. Bloomfield River,Araliaceae,,,,,
Hydrocotyle sp.,Araliaceae,herbaceous,,,,
Meryta angustifolia,Araliaceae,woody,,,,
Meryta latifolia,Araliaceae,woody,,,,
Polyscias sp. [Polyscias mulgraveana],Araliaceae,woody,,,,
Schefflera versteegii,Araliaceae,woody,,,,
Trachymene anisocarpa var. anisocarpa,Araliaceae,herbaceous,,,,
Araucaria heterophylla,Araucariaceae,woody,,,,
Phoenix dactylifera,Arecaceae,woody,,,,
Arthropodium sp.,Asparagaceae,herbaceous,,,,
Eustrephus sp.,Asparagaceae,herbaceous,,,,
Lachenalia aloides,Asparagaceae,,,,,
Lachenalia bulbifera,Asparagaceae,,,,,
Laxmannia grandiflora subsp. grandiflora,Asparagaceae,herbaceous,,,,
Laxmannia grandiflora subsp. stirlingensis,Asparagaceae,herbaceous,,,,
Lomandra confertifolia subsp. confertifolia,Asparagaceae,herbaceous,,,,
Lomandra decomposita,Asparagaceae,herbaceous,,,,
Lomandra micrantha subsp. teretifolia,Asparagaceae,herbaceous,,,,
Muscari comosum,Asparagaceae,herbaceous,,,,
Ornithogalum arabicum,Asparagaceae,herbaceous,,,,
Ornithogalum maximum,Asparagaceae,herbaceous,,,,
Ornithogalum pyrenaicum,Asparagaceae,herbaceous,,,,
Ornithogalum thyrsoides,Asparagaceae,herbaceous,,,,
Scilla hyacinthoides,Asparagaceae,,,,,
Scilla peruviana,Asparagaceae,,,,,
Aloe parvibracteata,Asphodelaceae,,,,,
Aloe vera,Asphodelaceae,,,,,
Asplenium appendiculatum,Aspleniaceae,herbaceous,,,,
Achillea tomentosa,Asteraceae,herbaceous,,,,
Acomis bella,Asteraceae,herbaceous,,,,
Acomis kakadu,Asteraceae,herbaceous,,,,
Acomis macra,Asteraceae,herbaceous,,,,
Angianthus glabratus,Asteraceae,herbaceous,,,,
Angianthus globuliformis,Asteraceae,herbaceous,,,,
Angianthus phyllocalymmeus,Asteraceae,herbaceous,,,,
Argyranthemum frutescens,Asteraceae,herbaceous,,,,
Argyranthemum frutescens subsp. foeniculaceum,Asteraceae,herbaceous,,,,
Argyranthemum frutescens subsp. frutescens,Asteraceae,herbaceous,,,,
Asteraceae,Asteraceae,NA,,,,
Asteriscus spinosus,Asteraceae,herbaceous,,,,
Bedfordia linearis subsp. linearis,Asteraceae,woody,,,,
Bedfordia linearis subsp. oblongifolia,Asteraceae,woody,,,,
Bedfordia linearis var. curvifolia,Asteraceae,woody,,,,
Bedfordia linearis var. oblongifolia,Asteraceae,woody,,,,
Berkheya rigida,Asteraceae,semi_woody,herb subshrub,,,
Blumea balsamifera,Asteraceae,semi_woody,herb subshrub,,,
Blumea benthamiana,Asteraceae,,,,,
Blumea lanceolaria,Asteraceae,semi_woody,herb subshrub,,,
Blumea psammophila,Asteraceae,herbaceous,,,,
Brachyscome,Asteraceae,NA,,,,
Brachyscome abercrombiensis,Asteraceae,herbaceous,,,,
Brachyscome ascendens,Asteraceae,herbaceous,,,,
Brachyscome billabongensis,Asteraceae,herbaceous,,,,
Brachyscome breviscapis,Asteraceae,herbaceous,,,,
Brachyscome brownii,Asteraceae,herbaceous,,,,
Brachyscome casstiana,Asteraceae,herbaceous,,,,
Brachyscome dalbyensis,Asteraceae,woody,,,,
Brachyscome georginensis,Asteraceae,,,,,
Brachyscome gilesii,Asteraceae,herbaceous,,,,
Brachyscome kaputarensis,Asteraceae,herbaceous,,,,
Brachyscome mittagongensis,Asteraceae,herbaceous,,,,
Brachyscome rara,Asteraceae,,,,,
Brachyscome rudallensis,Asteraceae,,,,,
Brachyscome segmentosa,Asteraceae,herbaceous,,,,
Brachyscome sieberi,Asteraceae,herbaceous,,,,
Brachyscome simulans,Asteraceae,,,,,
Brachyscome sp. aff. cuneifolia,Asteraceae,,,,,
Brachyscome sp. Kings Billabong (J.H.Browne 397),Asteraceae,,,,,
Brachyscome tamworthensis,Asteraceae,herbaceous,,,,
Brachyscome tasmanica,Asteraceae,,,,,
Brachyscome tetrapterocarpa,Asteraceae,herbaceous,,,,
Brachyscome trisecta,Asteraceae,,,,,
Brachyscome watanabei,Asteraceae,herbaceous,,,,
Brachyscome xanthocarpa,Asteraceae,,,,,
Calotis glabrescens,Asteraceae,,,,,
Calotis kempei,Asteraceae,,,,,
Calotis sp. Carnarvon Range (D.J.Edinger & K.F.Kenneally D 2708 K 12243),Asteraceae,,,,,
Calotis sp. Lake Buchanan (J.Kemp+ 3384H),Asteraceae,,,,,
Calotis sp. Normanton (P.Ollerenshaw 1480),Asteraceae,,,,,
Calotis sp. Perrinvale Station (R.J.Cranfield 7096),Asteraceae,,,,,
Calotis suffruticosa,Asteraceae,,,,,
Calotis xanthosioidea,Asteraceae,,,,,
Calyptocarpus vialis,Asteraceae,herbaceous,,,,
Carthamus leucocaulos,Asteraceae,,,,,
Cassinia leptocephala subsp. everettiae,Asteraceae,woody,,,,
Cassinia macrocephala subsp. macrocephala,Asteraceae,woody,,,,
Centaurea cineraria,Asteraceae,herbaceous,,,,
Centaurea eriophora,Asteraceae,herbaceous,,,,
Centaurea nigrescens,Asteraceae,herbaceous,,,,
Chamaemelum nobile,Asteraceae,herbaceous,,,,
Chrysocephalum gilesii,Asteraceae,,,,,
Chrysocephalum sericeum,Asteraceae,,,,,
Chrysocephalum sp. Ebor Falls (B.R.Paterson Feb/1958),Asteraceae,NA,,,,
Chrysocephalum sp. Inland Plains (B.J.Conn 2530),Asteraceae,NA,,,,
Coronidium cymosum,Asteraceae,herbaceous,,,,
Coronidium glutinosum,Asteraceae,herbaceous,,,,
Coronidium oxylepis subsp. lanatum,Asteraceae,herbaceous,,,,
Crepis dioscoridis,Asteraceae,herbaceous,,,,
Crepis vesicaria,Asteraceae,herbaceous,,,,
Crupina vulgaris,Asteraceae,herbaceous,,,,
Dimorphocoma minutula,Asteraceae,herbaceous,,,,
Dimorphotheca sinuata,Asteraceae,,,,,
Emilia,Asteraceae,herbaceous,,,,
Erymophyllum ramosum subsp. involucratum,Asteraceae,herbaceous,,,,
Erymophyllum ramosum subsp. ramosum,Asteraceae,herbaceous,,,,
Euryops abrotanifolius,Asteraceae,woody,,,,
Filago pygmaea,Asteraceae,herbaceous,,,,
Filago pyramidata,Asteraceae,herbaceous,,,,
Gazania linearis,Asteraceae,,,,,
Gynura drymophila var. glabrifolia,Asteraceae,herbaceous,,,,
Iva axillaris,Asteraceae,herbaceous,,,,
Ixiochlamys integerrima,Asteraceae,,,,,
Ixodia achillaeoides subsp. achillaeoides,Asteraceae,,,,,
Lactuca sativa,Asteraceae,,,,,
Leiocarpa pluriseta,Asteraceae,,,,,
Leiocarpa serpens,Asteraceae,,,,,
Olearia,Asteraceae,,,,,
Olearia arckaringensis,Asteraceae,,,,,
Olearia orientalis,Asteraceae,,,,,
Olearia passerinoides subsp. glutescens,Asteraceae,,,,,
Olearia passerinoides subsp. passerinoides,Asteraceae,,,,,
Olearia phlogopappa subsp. angustifolia,Asteraceae,,,,,
Olearia phlogopappa subsp. gunniana,Asteraceae,,,,,
Olearia phlogopappa subsp. salicina,Asteraceae,,,,,
Olearia racemosa,Asteraceae,,,,,
Olearia rugosa subsp. intermedia,Asteraceae,,,,,
Olearia sp. [Olearia oswaldii],Asteraceae,,,,,
Olearia sp. Wallabi Island (D.J.Edinger 2727),Asteraceae,,,,,
Oligocarpus calendulaceus,Asteraceae,,,,,
Oncosiphon suffruticosum,Asteraceae,,,,,
Ozothamnus rodwayi var. oreophilus,Asteraceae,,,,,
Pentzia incana,Asteraceae,,,,,
Picnomon acarna,Asteraceae,,,,,
Pleurocarpaea fasciculata,Asteraceae,,,,,
Pluchea alata,Asteraceae,,,,,
Pluchea dioscoridis,Asteraceae,,,,,
Pluchea longiseta,Asteraceae,,,,,
Pluchea macdonnellensis,Asteraceae,,,,,
Pluchea mesotes,Asteraceae,,,,,
Pluchea punctata,Asteraceae,,,,,
Pluchea sp.,Asteraceae,,,,,
Pluchea tenuis,Asteraceae,,,,,
Pluchea xanthina,Asteraceae,,,,,
Podolepis aristata subsp. affinis,Asteraceae,,,,,
Podolepis aristata subsp. aristata,Asteraceae,,,,,
Podotheca,Asteraceae,,,,,
Pterocaulon ciliosum,Asteraceae,,,,,
Pterocaulon discolor,Asteraceae,,,,,
Pterocaulon globuliflorum,Asteraceae,,,,,
Pterocaulon intermedium,Asteraceae,,,,,
Pterocaulon intermedium x Pterocaulon paradoxum,Asteraceae,,,,,
Pterocaulon paradoxum,Asteraceae,,,,,
Pterocaulon serrulatum var. velutinum,Asteraceae,,,,,
Pterocaulon serrulatum x Pterocaulon sphacelatum,Asteraceae,,,,,
Pterocaulon tricholobum,Asteraceae,,,,,
Pterocaulon xenicum,Asteraceae,,,,,
Rhodanthe chlorocephala subsp. splendida,Asteraceae,,,,,
Rhodanthe oppositifolia subsp. oppositifolia,Asteraceae,,,,,
Roebuckiella lathamensis,Asteraceae,,,,,
Schoenia filifolia subsp. filifolia,Asteraceae,,,,,
Schoenia filifolia subsp. subulifolia,Asteraceae,,,,,
Senecio albogilvus,Asteraceae,,,,,
Senecio angulatus,Asteraceae,,,,,
Senecio articulatus,Asteraceae,,,,,
Senecio barkhausioides,Asteraceae,,,,,
Senecio depressicola,Asteraceae,,,,,
Senecio esleri,Asteraceae,,,,,
Senecio evansianus,Asteraceae,,,,,
Senecio glastifolius,Asteraceae,,,,,
Senecio gypsicola,Asteraceae,,,,,
Senecio hooglandii,Asteraceae,,,,,
Senecio howeanus,Asteraceae,,,,,
Senecio longipilus,Asteraceae,,,,,
Senecio macroglossus,Asteraceae,,,,,
Senecio megaglossus,Asteraceae,,,,,
Senecio pauciradiatus,Asteraceae,,,,,
Senecio pectinatus var. pectinatus,Asteraceae,,,,,
Senecio productus,Asteraceae,,,,,
Senecio psilophyllus,Asteraceae,,,,,
Senecio queenslandicus,Asteraceae,,,,,
Senecio scabrellus,Asteraceae,,,,,
Senecio sp.,Asteraceae,,,,,
Senecio tasmanicus,Asteraceae,,,,,
Tagetes erecta,Asteraceae,,,,,
Taraxacum sect. Erythrosperma,Asteraceae,,,,,
Taraxacum sect. Taraxacum,Asteraceae,,,,,
Taraxacum sp. [Taraxacum sp. aff. brakelii],Asteraceae,,,,,
Ursinia anthemoides subsp. anthemoides,Asteraceae,,,,,
Vittadinia bicolor,Asteraceae,,,,,
Vittadinia burbidgeae,Asteraceae,,,,,
Vittadinia constricta,Asteraceae,,,,,
Vittadinia decora,Asteraceae,,,,,
Vittadinia diffusa,Asteraceae,,,,,
Vittadinia obovata,Asteraceae,,,,,
Vittadinia sericea,Asteraceae,,,,,
Vittadinia sp. A Kimberley Flora (R.J.Cranfield 6527),Asteraceae,,,,,
Vittadinia sp. Coondewanna Flats (S.van Leeuwen 4684),Asteraceae,,,,,
Vittadinia sp. Earaheedy (D.J.Edinger 3106),Asteraceae,,,,,
Vittadinia sp. Junction Reserve (B.A.Piercey 62),Asteraceae,,,,,
Vittadinia sp. Keep River (J.L.Egan 5045),Asteraceae,,,,,
Vittadinia spechtii,Asteraceae,,,,,
Vittadinia virgata,Asteraceae,,,,,
Waitzia acuminata var. albicans,Asteraceae,,,,,
Waitzia suaveolens var. flava,Asteraceae,,,,,
Atherosperma sp.,Atherospermataceae,woody,,,,
Daphnandra sp.,Atherospermataceae,woody,,,,
Doryphora sp.,Atherospermataceae,woody,,,,
Basella alba,Basellaceae,herbaceous,,,,
Nandina domestica,Berberidaceae,woody,,,,
Campsis radicans,Bignoniaceae,woody,vine,,,
Dolichandrone alternifolia,Bignoniaceae,woody,,,,
Bixa orellana,Bixaceae,woody,,,,
Anchusa capensis,Boraginaceae,herbaceous,,,,
Austrocynoglossum sp.,Boraginaceae,herbaceous,,,,
Cynoglossum sp.,Boraginaceae,herbaceous,,,,
Echium simplex,Boraginaceae,herbaceous,,,,
Ehretia,Boraginaceae,woody,,,,
Heliotropium,Boraginaceae,herbaceous,,,,
Heliotropium aequoreum,Boraginaceae,herbaceous,,,,
Heliotropium albrechtii,Boraginaceae,herbaceous,,,,
Heliotropium amnis-edith,Boraginaceae,herbaceous,,,,
Heliotropium arenitense,Boraginaceae,herbaceous,,,,
Heliotropium ballii,Boraginaceae,herbaceous,,,,
Heliotropium chalcedonium,Boraginaceae,herbaceous,,,,
Heliotropium collinum,Boraginaceae,herbaceous,,,,
Heliotropium consimile,Boraginaceae,herbaceous,,,,
Heliotropium cracens,Boraginaceae,herbaceous,,,,
Heliotropium delestangii,Boraginaceae,herbaceous,,,,
Heliotropium fasciculatum,Boraginaceae,herbaceous,,,,
Heliotropium filaginoides,Boraginaceae,herbaceous,,,,
Heliotropium frohlichii,Boraginaceae,herbaceous,,,,
Heliotropium indicum,Boraginaceae,herbaceous,,,,
Heliotropium lapidicola,Boraginaceae,herbaceous,,,,
Heliotropium melanopedii,Boraginaceae,herbaceous,,,,
Heliotropium microspermum,Boraginaceae,herbaceous,,,,
Heliotropium pauciflorum,Boraginaceae,herbaceous,,,,
Heliotropium peninsulare,Boraginaceae,herbaceous,,,,
Heliotropium plumosum,Boraginaceae,herbaceous,,,,
Heliotropium prostratum,Boraginaceae,herbaceous,,,,
Heliotropium pulvinum,Boraginaceae,herbaceous,,,,
Heliotropium rhadinostachyum,Boraginaceae,herbaceous,,,,
Heliotropium sp.,Boraginaceae,herbaceous,,,,
Heliotropium sp. Ord River (W.Fitzgerald 1611),Boraginaceae,herbaceous,,,,
Heliotropium strigosum,Boraginaceae,herbaceous,,,,
Heliotropium styotrichum,Boraginaceae,herbaceous,,,,
Heliotropium subreniforme,Boraginaceae,herbaceous,,,,
Heliotropium tabuliplagae,Boraginaceae,herbaceous,,,,
Heliotropium tytoides,Boraginaceae,herbaceous,,,,
Heliotropium vagum,Boraginaceae,herbaceous,,,,
Omphalolappula sp.,Boraginaceae,herbaceous,,,,
Pentaglottis sempervirens,Boraginaceae,herbaceous,,,,
Trichodesma zeylanicum var. grandiflorum,Boraginaceae,,,,,
Arabidella sp. Eurella (S.L.Everist 3734),Brassicaceae,,,,,
Ballantinia sp.,Brassicaceae,herbaceous,,,,
Brassica elongata,Brassicaceae,,,,,
Brassica x napus,Brassicaceae,,,,,
Camelina sativa,Brassicaceae,herbaceous,,,,
Cuphonotus sp.,Brassicaceae,herbaceous,,,,
Drabastrum sp.,Brassicaceae,semi_woody,herb subshrub,,,
Erysimum repandum,Brassicaceae,herbaceous,,,,
Euclidium syriacum,Brassicaceae,,,,,
Geococcus sp.,Brassicaceae,,,,,
Hornungia procumbens,Brassicaceae,,,,,
Hornungia sp,Brassicaceae,,,,,
Hornungia sp.,Brassicaceae,,,,,
Iberis crenata,Brassicaceae,,,,,
Irenepharsus sp.,Brassicaceae,,,,,
Lepidium coronopus,Brassicaceae,,,,,
Lepidium englerianum,Brassicaceae,,,,,
Lepidium flexicaule,Brassicaceae,,,,,
Lepidium ginninderrense,Brassicaceae,,,,,
Lepidium graminifolium,Brassicaceae,,,,,
Lepidium howei-insulae,Brassicaceae,,,,,
Lepidium latifolium,Brassicaceae,,,,,
Lepidium nesophilum,Brassicaceae,,,,,
Lepidium sativum,Brassicaceae,,,,,
Lepidium scandens,Brassicaceae,,,,,
Lepidium strictum,Brassicaceae,,,,,
Lepidium strongylophyllum,Brassicaceae,,,,,
Matthiola incana,Brassicaceae,,,,,
Microlepidium sp.,Brassicaceae,,,,,
Myagrum perfoliatum,Brassicaceae,,,,,
Neslia paniculata,Brassicaceae,,,,,
Pachymitus sp.,Brassicaceae,,,,,
Phlegmatospermum sp.,Brassicaceae,,,,,
Pringlea antiscorbutica,Brassicaceae,,,,,
Stenopetalum salicola,Brassicaceae,,,,,
Canarium indicum,Burseraceae,,,,,
Brasenia sp.,Cabombaceae,herbaceous,,,,
Austrocylindropuntia subulata,Cactaceae,,,,,
Cylindropuntia tunicata,Cactaceae,,,,,
Isotoma sp,Campanulaceae,herbaceous,,,,
Lobelia archeri,Campanulaceae,herbaceous,,,,
Lobelia cleistogamoides,Campanulaceae,herbaceous,,,,
Lobelia erinus,Campanulaceae,herbaceous,,,,
Lobelia fissiflora,Campanulaceae,herbaceous,,,,
Lobelia laxiflora,Campanulaceae,herbaceous,,,,
Lobelia simulans,Campanulaceae,herbaceous,,,,
Lobelia sp,Campanulaceae,herbaceous,,,,
Lobelia sp. Cox Peninsula (R.Booth 221),Campanulaceae,herbaceous,,,,
Trema sp.,Cannabaceae,woody,,,,
Apophyllum sp.,Capparaceae,woody,,,,
Capparis humistrata,Capparaceae,woody,,,,
Capparis nobilis,Capparaceae,woody,,,,
Capparis shanesiana,Capparaceae,woody,,,,
Dipsacus sativus,Caprifoliaceae,herbaceous,,,,
Fedia graciliflora,Caprifoliaceae,herbaceous,,,,
Symphoricarpos albus,Caprifoliaceae,woody,,,,
Valerianella discoidea,Caprifoliaceae,herbaceous,,,,
Valerianella eriocarpa,Caprifoliaceae,herbaceous,,,,
Valerianella locusta,Caprifoliaceae,herbaceous,,,,
Valerianella muricata,Caprifoliaceae,herbaceous,,,,
Carica papaya,Caricaceae,woody,,,,
Cerastium diffusum,Caryophyllaceae,herbaceous,,,,
Cerastium fontanum,Caryophyllaceae,herbaceous,,,,
Cerastium semidecandrum,Caryophyllaceae,herbaceous,,,,
Gypsophila sp.,Caryophyllaceae,,,,,
Minuartia mediterranea,Caryophyllaceae,,,,,
Paronychia argentea,Caryophyllaceae,,,,,
Petrorhagia nanteuilii,Caryophyllaceae,,,,,
Polycarpaea corymbosa var. corymbosa,Caryophyllaceae,herbaceous,,,,
Polycarpaea sp. Bang Bang Jumpup (T.Farrell TF784),Caryophyllaceae,herbaceous,,,,
Polycarpaea sp. sandstone (C.R.Dunlop 4567),Caryophyllaceae,herbaceous,,,,
Polycarpaea umbrosa,Caryophyllaceae,herbaceous,,,,
Sagina maritima,Caryophyllaceae,,,,,
Silene aegyptiaca,Caryophyllaceae,herbaceous,,,,
Silene conica,Caryophyllaceae,herbaceous,,,,
Silene dichotoma,Caryophyllaceae,herbaceous,,,,
Silene gallica var. gallica,Caryophyllaceae,herbaceous,,,,
Silene gallica var. quinquevulnera,Caryophyllaceae,herbaceous,,,,
Silene noctiflora,Caryophyllaceae,herbaceous,,,,
Silene tridentata,Caryophyllaceae,herbaceous,,,,
Spergularia sp.,Caryophyllaceae,,,,,
Stellaria sp.,Caryophyllaceae,,,,,
Allocasuarina,Casuarinaceae,woody,,,,
Allocasuarina anfractuosa,Casuarinaceae,woody,,,,
Allocasuarina sp. Shaw Island (G.N.Batianoff et al. 3360),Casuarinaceae,woody,,,,
Casuarina,Casuarinaceae,woody,,,,
Casuarina sp. [Casuarina rapuana],Casuarinaceae,woody,,,,
Denhamia bilocularis x Denhamia silvestris,Celastraceae,woody,,,,
Denhamia sp. Junee Tableland (T.J.McDonald 553),Celastraceae,woody,,,,
Hippocratea sp. [Hippocratea australis],Celastraceae,woody,,,,
Maytenus sp. Mt Coolon (D.Corr PA 409),Celastraceae,woody,,,,
Maytenus sp. Mt Windell (S.van Leeuwen 846),Celastraceae,woody,,,,
Stackhousia aspericocca subsp. Cylindrical inflorescence (W.R.Barker 1418),Celastraceae,woody,,,,
Centrolepis sp2,Centrolepidaceae,herbaceous,,,,
Ceratophyllum sp.,Ceratophyllaceae,herbaceous,,,,
Atriplex amnicola,Chenopodiaceae,woody,,,,
Atriplex bunburyana,Chenopodiaceae,woody,,,,
Atriplex canescens,Chenopodiaceae,woody,,,,
Atriplex cephalantha,Chenopodiaceae,woody,,,,
Atriplex codonocarpa,Chenopodiaceae,herbaceous,,,,
Atriplex cornigera,Chenopodiaceae,,,,,
Atriplex cryptocarpa,Chenopodiaceae,woody,,,,
Atriplex eremitis,Chenopodiaceae,,,,,
Atriplex exilifolia,Chenopodiaceae,herbaceous,,,,
Atriplex flabelliformis,Chenopodiaceae,herbaceous,,,,
Atriplex humilis,Chenopodiaceae,,,,,
Atriplex hymenotheca,Chenopodiaceae,woody,,,,
Atriplex incrassata,Chenopodiaceae,,,,,
Atriplex kochiana,Chenopodiaceae,,,,,
Atriplex lentiformis,Chenopodiaceae,herbaceous,,,,
Atriplex nana,Chenopodiaceae,woody,,,,
Atriplex obconica,Chenopodiaceae,,,,,
Atriplex quadrivalvata,Chenopodiaceae,herbaceous,,,,
Atriplex semilunaris,Chenopodiaceae,herbaceous,,,,
Atriplex sp. Doongmabulla Homestead (E.J.Thompson+ GAL20),Chenopodiaceae,,,,,
Atriplex spinulosa,Chenopodiaceae,herbaceous,,,,
Atriplex undulata,Chenopodiaceae,herbaceous,,,,
Atriplex vesicaria subsp. appendiculata,Chenopodiaceae,woody,,,,
Atriplex vesicaria subsp. calcicola,Chenopodiaceae,woody,,,,
Atriplex yeelirrie,Chenopodiaceae,,,,,
Chenopodium ficifolium,Chenopodiaceae,herbaceous,,,,
Chenopodium giganteum,Chenopodiaceae,woody,,,,
Chenopodium hubbardii,Chenopodiaceae,,,,,
Chenopodium macrospermum,Chenopodiaceae,herbaceous,,,,
Chenopodium opulifolium,Chenopodiaceae,,,,,
